Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
nifstd.xml,157666,130781,1962343,483775,320798,161717,1242,6,833,587,OWL2_FULL,OWL2_FULL,,,,,,,6.053,,,4.4061,25.9896,11.7469,,,,,,,,6.053
upheno.xml,159212,17091,1552159,468679,446500,21697,462,1,341,372,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,6.8999,3.5917,,3.1846,119.0712,11.4419,13.8145,,,,,,,6.8999
ncit.owl,169111,0,2850463,234117,234104,0,13,0,97,141,OWL2_FULL,OWL2_FULL,,0.001,,,215.8511,,,,16.4817,2.9551,,5.9395,5.9913,,16.4827,,,221.7906,,
dron.xml,578206,510104,3498249,1642634,1158027,484583,24,1,20,77,OWL2_DL - OWL2_FULL,OWL2_DL,,,,39.1338,,,9.4193,14.8237,32.3642,17.261,63.3459,37.3065,27.1236,,,,102.47970000000001,,,9.4193
loinc.owl,268558,268552,7079178,5632197,257534,5374637,26,70,105,21,OWL2_FULL,OWL2_FULL,,,,,,,109.189,,34.1425,16.458,,446.0363,,,,,,,,109.189
chebi.xml,171059,50642,3314948,397690,310133,87554,3,0,10,40,OWL2_DL - OWL2_FULL,OWL2_DL,2286.3683,152.3998,,2.963,837.4417,1152.2098,10.3578,2.7034,6.1365,3.4434,12.7995,8.0009,8.0402,2289.0717,158.5363,,15.7625,845.4426,1160.25,10.3578
MESH.owl,347698,347692,9612820,7289654,40919,7248709,26,28,27,21,OWL2_FULL,OWL2_FULL,,,,,,,124.6795,,47.7273,19.57,,653.9807000000001,,,,,,,,124.6795
ncbitaxon.owl,1908229,1908223,17351973,9541037,1908189,7632822,26,3,18,21,OWL2_FULL,OWL2_FULL,,,,,343.0202,282.0597,159.213,89.4015,121.5299,76.5753,,211.5818,186.0945,,,,,554.602,468.15420000000006,159.213
gaz.xml,668839,660755,7801093,2256702,1460125,796571,6,0,15,33,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,13.8071,,,19.9441,16.9477,33.1419,22.5089,71.2731,48.4908,37.4463,,,,85.0802,,,19.9441
pr.xml,332354,294425,5151763,1426166,1007050,419110,6,0,21,42,OWL2_DL - OWL2_FULL,OWL2_DL,,,,24.1066,,,19.9806,9.9853,28.4609,11.3583,55.8934,22.3783,19.6906,,,,80.0,,,19.9806
cco.xml,264892,255182,9925469,4229990,2249881,1980102,7,0,15,64,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,25.7453,21.9074,39.9362,14.5281,,107.5267,103.4193,,,,,,,25.7453
