Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Classification_LoadingAdded,HermiT_Classification_LoadingAdded,JFact_Classification_LoadingAdded,Konclude_Classification_LoadingAdded,Openllet_Classification_LoadingAdded,Pellet_Classification_LoadingAdded,KoncludeCLI_Classification_LoadingAdded
ore_ont_8280.owl,85,171,978,864,111,733,12,6,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0277,,,0.0093,0.0950999999999999,0.0326999999999999,0.0314,,,,,,,0.0277
ore_ont_4400.owl,575,602,1909,1334,732,602,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0035,0.0728,0.1271,0.0054,0.0241,0.019,0.0397,0.008,0.0441,0.0161,0.06,0.0331,0.032,0.0115,0.1169,0.1432,0.0654,0.0572,0.051000000000000004,0.0397
ore_ont_5539.owl,85,171,981,865,114,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0276,,,0.0098,0.0932,0.0346,0.0333,,,,,,,0.0276
ore_ont_15397.owl,607,0,2001,1392,1392,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.003,0.0756,0.0988,0.007,0.0206,0.0157,0.0415,0.0082,0.0504,0.0147,0.0575,0.0277,0.0287,0.011200000000000002,0.126,0.1135,0.0645,0.048299999999999996,0.044399999999999995,0.0415
ore_ont_2669.owl,90,171,995,875,122,733,12,6,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0281,,,0.0094,0.0988,0.0385,0.0346,,,,,,,0.0281
ore_ont_15685.owl,760,18,1574,805,769,36,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0019,0.091,0.0756999999999999,0.005,0.0197,0.0169,0.0366,0.0098,0.0412,0.0135,0.0512999999999999,0.027,0.0257,0.0117,0.13219999999999998,0.0891999999999999,0.0562999999999999,0.0467,0.0426,0.0366
ore_ont_12433.owl,280,0,1135,815,776,0,39,0,40,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0453,0.1898,0.3434999999999999,0.0537,0.1269,0.1251,0.0834,0.0093,0.052,0.0104,0.0544,0.0326,0.0305,0.054599999999999996,0.2418,0.35389999999999994,0.1081,0.1595,0.1556,0.0834
ore_ont_10906.owl,86,171,988,869,113,733,12,6,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0277,,,0.01,0.0973,0.0337,0.0333,,,,,,,0.0277
ore_ont_1397.owl,137,206,1037,885,383,494,8,1,15,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.2759,5.366,,0.1246,1.677,,0.1948,0.0081,0.0606,0.0107999999999999,0.0956,0.0338,,2.2840000000000003,5.4266,,0.2202,1.7108,,0.1948
ore_ont_8786.owl,137,206,1039,886,383,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.2824,5.5477,,0.1301,3.4515,,0.1984,0.0066999999999999,0.0593,0.0116,0.0977,0.0293,,2.2891,5.607,,0.2278,3.4808,,0.1984
ore_ont_3978.owl,962,0,1672,678,663,3,12,0,32,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0987,0.1291,0.5478,0.0097,0.0814,0.0732,0.0518,0.0161,0.0882,0.0174,0.0685,0.0329,0.0324,0.1148,0.2173,0.5651999999999999,0.0782,0.1143,0.1056,0.0518
ore_ont_15985.owl,1188,0,2563,1374,1374,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0087,0.1164,0.1576999999999999,0.0069,0.023,0.0169,0.0454,0.0109,0.0532,0.0174,0.0592,0.0353,0.024,0.0196,0.1696,0.1750999999999999,0.0661,0.0583,0.0409,0.0454
ore_ont_237.owl,87,171,987,869,115,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.028,,,0.0095,0.0999,0.0377,0.039,,,,,,,0.028
ore_ont_10133.owl,634,0,1586,951,951,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0182,0.0825,0.1746,0.0055,0.021,0.0153,0.0363,0.0082,0.0438999999999999,0.013,0.0603,0.028,0.0259,0.0264,0.1263999999999999,0.18760000000000002,0.0658,0.049,0.0412,0.0363
ore_ont_11009.owl,889,0,1524,602,602,0,0,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1581,0.1281,0.573,0.0072,0.0428,0.0359,0.0476,0.0111,0.0851,0.0154,0.0671,0.0317,0.0231,0.1692,0.2132,0.5883999999999999,0.0743,0.0745,0.059,0.0476
ore_ont_11719.owl,1070,0,2372,1296,1296,0,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0081,0.1268,0.2285,0.0067,0.0302,0.0248,0.0459,0.012,0.0602,0.0171,0.0638,0.0324,0.0274,0.0201,0.187,0.2456,0.0705,0.0626,0.052199999999999996,0.0459
ore_ont_457.owl,889,0,1525,603,603,0,0,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1543,0.1246999999999999,0.5709,0.0071,0.0397,0.0349,0.0476,0.0086,0.0800999999999999,0.0174,0.0635,0.0315999999999999,0.029,0.1629,0.2047999999999998,0.5882999999999999,0.0706,0.07129999999999989,0.0639,0.0476
ore_ont_10776.owl,583,0,2370,1786,802,983,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0224,0.0801,0.549,0.0051,0.0767,0.0567,0.0465,0.0105,0.0441,0.0187,0.0759,0.0254,0.0236,0.0329,0.1242,0.5677000000000001,0.08099999999999999,0.1021,0.0803,0.0465
ore_ont_4261.owl,1070,0,2372,1296,1296,0,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0107,0.1296,0.2192,0.0073,0.0289,0.0249999999999999,0.046,0.0132,0.0603,0.015,0.0605,0.0322,0.0258,0.023899999999999998,0.18989999999999999,0.23420000000000002,0.0678,0.0611,0.0507999999999999,0.046
ore_ont_12764.owl,809,0,2085,1274,1274,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0185,0.1073,0.2556,0.0061,0.0275,0.0206,0.042,0.0124,0.0484,0.0138,0.0655,0.0347,0.0273,0.030899999999999997,0.1557,0.2694,0.0716,0.062200000000000005,0.0479,0.042
ore_ont_5206.owl,85,171,989,871,112,733,12,6,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0275,,,0.0093,0.1019,0.0351,0.0312,,,,,,,0.0275
ore_ont_8396.owl,1025,0,1631,581,581,0,0,0,25,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1015,0.1338,0.454,0.0079,0.0392,0.034,0.0501,0.0102,0.0781,0.0178,0.0657,0.0335,0.0274,0.11170000000000001,0.2119,0.4718,0.0736,0.0727,0.0614,0.0501
ore_ont_15407.owl,891,0,2109,1209,1209,0,0,0,9,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.2981,0.1121,1.1375,0.0062,0.0404,0.0339,0.0448,0.0088,0.0621,0.014,0.0660999999999999,0.0307999999999999,0.0274,0.30689999999999995,0.17420000000000002,1.1515,0.07229999999999989,0.0711999999999999,0.0613,0.0448
ore_ont_13880.owl,88,171,1001,882,129,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,,,,0.0101,0.1003,0.0339,0.0308,,,,,,,
ore_ont_16371.owl,805,83,2307,1440,983,392,65,6,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0093,0.1311,,0.0147,0.2678,0.1986,0.0644,0.013,0.0639,0.0178,0.0773,0.046,0.0425,0.0223,0.195,,0.092,0.31379999999999997,0.2411,0.0644
ore_ont_8250.owl,272,62,1643,1198,1090,76,30,102,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0255,0.4501,0.273,0.0137,0.1376,0.11,,0.0094,0.0842,0.0129,0.0706,0.0387,0.0373,0.0349,0.5343,0.28590000000000004,0.0843,0.1763,0.1473,
ore_ont_10283.owl,1470,0,2929,1459,1459,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0042,0.1278,0.074,0.0063,0.0219,0.0155,0.0491,0.0144999999999999,0.055,0.0162,0.0619,0.0351999999999999,0.027,0.0186999999999999,0.1828,0.0902,0.0682,0.0570999999999999,0.042499999999999996,0.0491
