Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization
ore_ont_11282.owl,30810,653,61623,30804,30143,653,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.4574,2.7338,29.1976,0.2964,2.858,3.2,0.883
ore_ont_7706.owl,11596,9,56766,45144,18148,26987,9,0,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,17.9223,33.8641,146.4826,0.151,1.9541,1.5576,0.8156
ore_ont_16542.owl,2622,12573,43149,40482,2876,37582,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,40.1525,,266.32,0.0823,,,1.4225
ore_ont_14223.owl,8026,22079,48323,40267,18158,22079,30,0,31,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.7552,2.499,65.0101,0.1055,1.0765,0.9522,0.8805
ore_ont_11085.owl,22643,9486,57551,33151,22831,9486,834,0,1758,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.461,,10.9819,2.9947,150.3035,116.8366,31.9171
ore_ont_12452.owl,9170,36303,56653,47483,11179,36303,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.6421,7.9526,6.6555,0.0961,0.6921,0.6058,1.1006
ore_ont_9694.owl,2624,12573,43173,40504,2898,37582,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,39.9682,,241.0707,0.091,,,1.5142
ore_ont_14897.owl,4274,3,64436,60111,11310,48772,29,0,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,,297.1974,,0.2231,,,1.1748
ore_ont_1330.owl,8654,22079,51392,42709,20595,22079,35,0,31,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.2525,54.6852,,1.0885
ore_ont_12992.owl,11708,27127,57300,45565,18429,27127,9,0,29,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,20.5273,31.662,188.2744,0.1413,35.8048,23.7462,1.0744
ore_ont_9684.owl,4443,3,69187,64693,12087,52577,29,0,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,,326.096,,0.2366,,,1.2753
ore_ont_10391.owl,80,5935,33133,32959,162,32766,31,17,77,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,4.4933,50.507,33.9771,0.04,2.4034,,0.9536
ore_ont_13526.owl,78,5933,33133,32967,157,32780,30,15,73,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,4.6163,,36.1218,0.0391,2.5828,,0.9471
ore_ont_8480.owl,6929,24910,51555,44509,2537,41814,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.4926,,,5.396
ore_ont_13233.owl,7150,24910,52362,45046,2983,41831,232,0,169,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.4289,,,4.3817
ore_ont_4049.owl,216,11758,61713,59261,4328,53737,1196,1078,1152,0,OWL2_DL,OWL2_DL,,,,,,,1.6468
ore_ont_6444.owl,348,8294,43865,43495,612,42877,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,323.4421,25.9412,,0.0436999999999999,,,1.1821
ore_ont_11311.owl,8022,22,76021,67974,22769,45179,26,0,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.3256,,,1.4661
ore_ont_16703.owl,8629,6,91663,83033,9082,73951,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.5148,1.4066,31.5806,0.2592,0.1209,0.1199,1.4407
ore_ont_11597.owl,8629,6,91663,83033,9082,73951,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.5032,1.3899,31.166,0.257,0.12,0.1265,1.4268
ore_ont_13359.owl,8804,6,92014,83209,9258,73951,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.4849,1.4552,31.1018,0.2592,0.1432,0.141,1.4054
ore_ont_7401.owl,31664,15412,70816,39143,23723,15412,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,28.0838,31.2798,498.9207,0.307,18.4387,16.2757,1.593
ore_ont_1833.owl,196,9903,43630,43219,790,42429,0,93,123,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.7463,1.5847,,0.1062,0.8544,,1.8947
ore_ont_1115.owl,9223,7,93964,84737,10610,74124,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.0372,16.459600000000002,32.4409,0.2761,0.145,0.1542,1.5077
