Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading
ore_ont_10123.owl,2143,15133,20141,17971,2817,15133,21,0,27,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0892,0.2384,0.1263,0.4354,0.241,0.1569
ore_ont_8492.owl,6658,0,18775,12112,12112,0,0,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0676,0.2331,0.0746,0.3762999999999999,0.1464,0.1505
ore_ont_7275.owl,6661,0,18782,12116,12116,0,0,0,5,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0703,0.246,0.066,0.3776,0.157,0.1558
ore_ont_14066.owl,6785,0,19162,12372,12372,0,0,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0698,0.245,0.0699,0.3932,0.1624,0.1601
ore_ont_8705.owl,6326,5,22331,16002,10911,5088,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0848,0.247,0.0869,0.456,0.1614,0.173
ore_ont_2578.owl,6326,5,22331,16002,10911,5088,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.088,0.2519,0.0925,0.4419,0.1684,0.1559
ore_ont_9299.owl,4106,0,15678,11539,11528,0,11,0,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0637,0.3732,0.0554,0.4011,0.1726,0.1935
ore_ont_16105.owl,5352,0,24905,19550,6373,13177,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0893,0.1946,0.1005,0.523,0.1194,0.1163
ore_ont_7439.owl,6785,0,19138,12347,12347,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0657,0.2422,0.0718,0.3745,0.1557,0.1426
ore_ont_13000.owl,6785,0,19156,12365,12365,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0667,0.2395,0.0718,0.3741,0.1551,0.1629
ore_ont_443.owl,39,2182,11391,11289,275,11008,6,33,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.1083,0.0361999999999999,0.3792999999999999,0.1437,0.1361
ore_ont_1501.owl,6799,0,19148,12343,12343,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0675,0.2333,0.0757,0.3727,0.1704,0.1503
ore_ont_12174.owl,247,2260,13889,13505,511,12919,75,34,104,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0616,0.1403,0.0477,0.608,0.1687,
ore_ont_16666.owl,3790,2319,14565,10384,7254,2941,189,46,346,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0638,0.2402,0.0728999999999999,0.3861,0.1663,
ore_ont_15612.owl,2726,0,16818,14084,13461,620,3,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0594,0.2253,0.0505,0.4171,0.1583,0.1712
ore_ont_3516.owl,2726,0,16818,14084,13461,620,3,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0608,0.2208,0.0533,0.4117,0.1467,0.1635
ore_ont_15063.owl,124,1605,12040,11871,268,11575,27,37,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0441,0.1115,0.0361,0.5604,0.1302,
ore_ont_10053.owl,6139,0,18304,12165,12165,0,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.069,0.2192,0.0637,0.3402,0.1404,0.1468
ore_ont_4503.owl,2721,0,16191,13462,13459,0,3,0,8,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0565,0.2146,0.0463,0.4024,0.1524,0.1798
ore_ont_8779.owl,187,4354,11648,11398,385,11008,5,0,64,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0417,0.1047,0.0504,0.3841,0.1277,0.116
ore_ont_13852.owl,15318,1,27661,12343,12342,1,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0873,0.2991,0.1164,0.3147,0.2154,0.1697
ore_ont_2128.owl,15321,1,27664,12344,12343,1,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0849999999999999,0.2906,0.1183999999999999,0.3218,0.2309,0.157
ore_ont_8347.owl,15320,1,27666,12346,12345,1,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0899,0.2912,0.1207,0.3302,0.2181,0.1601
ore_ont_8882.owl,221,4355,11762,11479,465,11008,6,0,64,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.048,0.1,0.0545,0.4591,0.1159,0.0895
ore_ont_7345.owl,23,2221,9972,9759,391,9284,80,30,160,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0469,0.1222999999999999,0.0351,0.4999,0.1585,
ore_ont_947.owl,2729,0,16107,13369,13366,0,3,0,9,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0684,0.2134,0.0499,0.4099,0.1515,0.1624
ore_ont_2497.owl,6917,0,19335,12399,12388,0,11,0,19,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0697,0.308,0.0733999999999999,0.3832,0.2071,0.2241
ore_ont_9303.owl,726,2125,11295,10505,2405,8089,11,27,37,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0515,0.1783,0.0406,0.402,0.1505999999999999,
ore_ont_14280.owl,6885,0,19225,12322,12313,0,9,0,18,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0763,0.3069,0.0744,0.3777,0.2051,0.2241
ore_ont_6198.owl,6593,0,15081,8472,8470,0,2,0,16,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0632,0.4243,0.0699,0.3908999999999999,0.1477,0.1373
ore_ont_2792.owl,3829,2423,14984,10737,7378,3165,194,46,373,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0694999999999999,0.2360999999999999,0.0635999999999999,0.4034,0.188,
ore_ont_4226.owl,6785,0,19138,12347,12347,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0649,0.2455999999999999,0.0684,0.3756,0.161,0.1662
ore_ont_5721.owl,126,5574,13575,13372,251,13058,63,0,79,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0529,0.1197,0.066,0.4535,0.1334999999999999,0.1171
ore_ont_802.owl,1395,3764,13078,11596,1571,10016,9,49,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0543,0.1362,0.0686,0.4172,0.144,
ore_ont_15066.owl,6977,0,19444,12440,12401,7,32,0,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0799,0.3855,0.0791,0.4268,0.1898,0.2007
ore_ont_10806.owl,15320,0,27662,12343,12343,0,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0906,0.3088,0.1316,0.3232,0.2191,0.161
ore_ont_15871.owl,133,3347,15327,15182,155,15025,2,3,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0568,0.1038,0.0584,0.4848,0.1247,
ore_ont_205.owl,5496,149,17893,12291,11953,223,115,0,107,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0767,0.3709,0.0774,0.5638000000000001,0.1777999999999999,0.1936
ore_ont_15793.owl,13861,0,20906,7044,7044,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0821,0.2404,0.1028,0.3174,0.1885,0.1363
ore_ont_8864.owl,8463,0,14290,5804,5804,0,0,0,23,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0813,0.5981,0.0916,0.4532,0.1734,0.1343
ore_ont_1666.owl,5946,0,16864,10916,10916,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.062,0.2105,0.0699,0.3531,0.1539,0.1552
ore_ont_14995.owl,4742,0,15875,11132,11132,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0531,0.2009999999999999,0.0601,0.3633,0.1311,0.1199
ore_ont_6230.owl,6658,0,18775,12112,12112,0,0,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0718999999999999,0.2369,0.0636999999999999,0.3725,0.1541,0.1486
ore_ont_5002.owl,6728,0,18954,12221,12221,0,0,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0798,0.241,0.0751,0.3762999999999999,0.1651,0.1646
ore_ont_15655.owl,1595,4807,20883,19222,1987,17223,12,26,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0905,0.2003,0.0719,0.911,0.2506,0.276
ore_ont_13082.owl,206,1617,13370,13159,258,12900,1,2,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0604,,0.0321,0.6978,0.1428,0.1449
ore_ont_10992.owl,3836,12278,23399,19560,7279,12278,3,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.092,0.2763,0.1419,0.5174,0.2571,0.1848
ore_ont_11502.owl,3836,12278,23399,19560,7279,12278,3,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0954,0.2781,0.1536,0.5152,0.2485,0.2019
ore_ont_14027.owl,15865,0,28456,12591,12591,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0897,0.2943,0.1101,0.3263999999999999,0.21,0.1668
ore_ont_15098.owl,211,6916,13348,13131,255,12870,6,0,7,0,OWL2_DL - OWL2_QL - OWL2_RL - OWL2_FULL,OWL2_DL,0.06,0.1321,0.0656,0.4438,0.1617,0.141
ore_ont_15288.owl,39,2619,12984,12882,275,12601,6,33,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.123,0.0434,0.4443,0.1726,0.1389
ore_ont_16800.owl,9810,0,16524,6690,6678,7,5,0,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0875,0.7494,0.0953,0.5809,0.1946999999999999,0.1487
ore_ont_4733.owl,15359,0,30434,15074,15074,0,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0945,0.3841,0.1281,0.3774,0.2336,0.1625
ore_ont_10754.owl,130,3093,12432,12261,322,11931,8,10,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0462,0.1106,0.0458,1.3588,0.1448,0.1065
ore_ont_15344.owl,6133,0,20406,14265,14257,0,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0692,1.1279,0.0678,5.5452,0.1646,0.1843
ore_ont_4639.owl,2795,1,26028,23228,10550,12674,4,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0897,0.2257,0.1136,0.6224999999999999,0.1204,0.1335
ore_ont_7251.owl,6731,0,29333,22597,8410,14187,0,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0886,0.2372,0.1341999999999999,0.6019,0.1341999999999999,0.1267
ore_ont_7926.owl,14877,0,29746,14869,14869,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0961,0.3025,0.111,0.3491,0.2041,0.1744
ore_ont_6870.owl,15384,0,30768,15384,15384,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0976,0.3314,0.1211,0.3691,0.2362,0.1809
ore_ont_3917.owl,5384,4892,24698,18728,10482,7936,310,53,534,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0917999999999999,0.3245,0.0999,0.6701,0.2681,
ore_ont_10949.owl,1728,9486,18088,14881,5256,9486,139,379,1101,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0847,,0.1299,1.7749,0.2307,0.2113
