Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
ore_ont_13949.owl,2920,9,19893,16968,5421,11542,5,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1606,5.5755,11.062,0.0366999999999999,0.373,0.2838,0.2716,0.0706,0.1602,0.0806,0.4305,0.0908,0.0962,0.2312,5.7357,11.1426,0.4671999999999999,0.4638,0.38,0.2716
ore_ont_15921.owl,187,3307,8874,8624,385,8234,5,0,64,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1393,0.4162,2.9599,0.0151,0.2404,0.242,0.2784,0.0413,0.08,0.0435,0.3066,0.1009999999999999,0.0889,0.1806,0.49620000000000003,3.0034,0.3217,0.3413999999999999,0.33089999999999997,0.2784
ore_ont_5492.owl,4366,0,21274,16900,4454,12442,4,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0766999999999999,8.2394,3.5752,0.0402,0.0945,0.0794,0.2861,0.0848,0.1626999999999999,0.1067,0.4285,0.0924,0.0945,0.1614999999999999,8.402099999999999,3.6819,0.4687,0.1869,0.1739,0.2861
ore_ont_1112.owl,4366,0,21274,16900,4454,12442,4,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0779,8.0177,3.5368,0.0401,0.083,0.0867,0.2847,0.0923,0.1656,0.0965,0.4357,0.0964,0.0959,0.1702,8.1833,3.6332999999999998,0.4758,0.1794,0.18259999999999998,0.2847
ore_ont_12665.owl,4366,0,21281,16907,4453,12450,4,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1,8.1175,3.5202,0.0403,0.088,0.0765,0.2821,0.0845,0.167,0.1076,0.4438,0.0988,0.0971,0.1845,8.2845,3.6278,0.4841,0.1868,0.1736,0.2821
ore_ont_9881.owl,269,4297,12947,12633,533,12076,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,12.7338,,60.3974,0.0283,494.9122,637.6074,0.6068,0.0608,0.135,0.0579999999999999,0.7202,0.1725,0.1219,12.7946,,60.4554,0.7484999999999999,495.0847,637.7293,0.6068
ore_ont_11411.owl,300,4297,13009,12664,564,12076,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,12.6344,,65.8627,0.0286,490.0349,646.7377,0.608,0.0638,0.1369,0.0508,0.7264,0.1756,0.1233,12.6982,,65.9135,0.755,490.21049999999997,646.861,0.608
ore_ont_10197.owl,300,4297,13009,12664,564,12076,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,12.7881,,63.7928,0.0287,484.4507,647.2554,0.6068,0.0688,0.1298,0.0551,0.729,0.1815999999999999,0.1228,12.8569,,63.8479,0.7576999999999999,484.6323,647.3782,0.6068
ore_ont_9386.owl,777,2379,10923,10120,1092,9016,12,0,27,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,2.6261,,0.0159,135.63,,0.21,0.0372,0.1252,0.052,0.3272,0.1008,0.0747,,2.7513,,0.3431,135.7308,,0.21
ore_ont_16750.owl,219,2197,11340,11103,367,10730,6,0,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.7696,2.5592,40.9966,0.0185,,,0.3261,0.0503,0.1301,0.0402,0.4658,0.1008,0.0987,3.8199,2.6893000000000002,41.0368,0.4843,,,0.3261
ore_ont_950.owl,293,2045,11927,11612,545,11061,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.699,2.4641,41.1605,0.018,17.1649,23.3123,0.3603,0.0371,0.1488,0.0558,0.5063,0.1123,0.0783,3.7361,2.6129000000000002,41.2163,0.5243,17.2772,23.3906,0.3603
ore_ont_13991.owl,3120,4088,12263,8229,4025,4088,116,313,465,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,2.4351,0.254,8.9673,7.3123,0.6201,,4.2072,0.0846,0.4467,0.1486,0.1263,,,2.5197,0.7007,9.1159,7.438599999999999,0.6201
ore_ont_7203.owl,6725,6,21531,14769,8783,5974,12,0,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,108.3312,3.2021,112.8731,0.1122,17.1329,9.4339,0.3429,0.0728,0.2518,0.1047,0.4211,0.1409,0.1174,108.404,3.4539,112.97779999999999,0.5333,17.273799999999998,9.5513,0.3429
ore_ont_9596.owl,6136,0,18960,12823,12163,660,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1364,0.7603,7.6586,0.0708,0.1885,0.1791,0.2343,0.0697,0.2274,0.0675,0.3428,0.1325,0.1248,0.2061,0.9877,7.7261,0.41359999999999997,0.321,0.3039,0.2343
ore_ont_4609.owl,206,4282,13830,13556,595,12844,117,3,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0786,52.8151,31.9466,0.8298,0.0503,0.1862,0.0586,0.8778,0.1631,0.1525,,,,0.9564,52.9782,32.0991,0.8298
ore_ont_15680.owl,206,4282,13830,13556,595,12844,117,3,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0776,24.8535,32.9737,0.8373,0.0519,0.1944999999999999,0.0512,0.8691,0.161,0.1535,,,,0.9467,25.0145,33.1272,0.8373
ore_ont_8627.owl,221,4237,10504,10221,465,9750,6,0,64,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,18.5149,16.6979,56.9965,0.0347,6.1234,46.1011,0.425,0.0383,0.1018,0.0433,0.4168,0.1176,0.0756,18.5532,16.7997,57.0398,0.4515,6.2410000000000005,46.176700000000004,0.425
