Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp,HermiT,JFact,Konclude,Openllet,Pellet,KoncludeCLI
ore_ont_13234.owl,539,0,1094,555,555,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_6368.owl,370,0,739,369,369,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_1034.owl,138,28,738,439,274,28,137,0,161,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15103.owl,34,56,605,503,195,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.0463,0.0882,0.0095,0.0348,OE,0.0363
ore_ont_16730.owl,512,0,1079,567,567,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3884.owl,183,91,681,460,236,211,13,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_6981.owl,228,0,765,459,364,0,95,6,73,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13704.owl,17,46,358,301,116,183,2,15,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0356,0.0489,0.0092,0.0262,OE,0.0304
ore_ont_13833.owl,311,0,1071,757,347,410,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0523,0.1490999999999999,0.0068,0.0148,0.0105,0.0298
ore_ont_15514.owl,194,50,613,393,247,132,14,0,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0094,0.08,0.1514,0.0151,38.3522,0.477,0.0403
ore_ont_2066.owl,339,49,822,471,387,84,0,0,12,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_9695.owl,418,0,667,244,244,0,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5604.owl,322,0,825,486,479,0,7,6,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1823.owl,55,157,842,638,176,316,146,97,53,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13584.owl,118,117,1061,825,257,393,175,23,96,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0095,7.4633,IE,0.0289,0.5329,0.3753,0.065
ore_ont_3780.owl,648,0,1308,659,659,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13097.owl,159,6,820,478,316,4,158,0,183,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15291.owl,224,66,868,569,270,180,119,9,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,2.1142,0.099,0.0167,0.2022,OE,0.0422
ore_ont_5204.owl,71,88,481,364,163,163,38,3,43,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.4735,0.0622,0.0134,0.0583,0.052,0.038
ore_ont_8578.owl,224,66,868,569,270,180,119,9,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8462.owl,140,12,730,425,278,8,139,0,165,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10009.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.0499,0.0829,0.0098999999999999,0.0408,OE,0.0381
ore_ont_568.owl,254,158,829,535,333,200,2,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0043,0.53,0.1156,0.012,0.1141,0.1076,0.0466
ore_ont_15058.owl,27,48,552,447,272,105,70,38,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,0.2482,0.0684,0.0163,0.0361,0.0282,0.0386
ore_ont_12253.owl,75,15,571,410,322,16,72,1,86,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_4719.owl,104,160,805,593,347,194,52,56,53,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,1.4509,0.1176,0.0143,0.06,0.04,0.0402
ore_ont_3022.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.0503,0.0826,0.0097,0.0416,OE,0.0378
ore_ont_2678.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_12369.owl,36,56,634,530,221,298,11,46,23,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.046,0.0826,0.0110999999999999,0.0387,OE,0.0394
ore_ont_16501.owl,193,0,747,551,548,0,3,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
