Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_11081.owl,8729,0,35972,27205,27189,0,16,0,39,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,73.93469999999999,4.4802,,0.4413,4.9136,4.6499,0.8988
ore_ont_2142.owl,5113,145,36961,31681,31288,216,177,0,170,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,12.1583,46.284,,0.0949,,,1.1768
ore_ont_589.owl,19136,0,38518,19382,19382,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0481,1.4747,0.5905,0.0883,0.2053,0.2107,0.5907
ore_ont_8377.owl,9166,3,56648,47481,11177,36303,1,0,1,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.6076,0.9381,6.4945,0.0524,0.1537,0.1486,0.8132
ore_ont_13052.owl,8223,4666,36789,28536,13270,15265,1,28,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,2.4666
ore_ont_2491.owl,17935,0,35886,17942,17934,0,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,22.1652,1.2968,100.2631,0.0965,25.5119,31.8807,0.5829
ore_ont_9739.owl,8022,22,46166,38119,16014,22079,26,0,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,65.7966,,422.9637,0.3049,,,0.9452
ore_ont_239.owl,8022,22,46166,38119,16014,22079,26,0,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,65.8781,,417.8045,0.3165,,,0.9477
ore_ont_7536.owl,19444,0,41169,21723,21721,0,2,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,31.9044,4.0152,150.3452,0.1421,2.9115,2.4928,0.7043
ore_ont_12221.owl,19448,0,41174,21725,21723,0,2,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,31.7157,4.0725,148.9479,0.1298,2.9653,2.5435,0.7145
ore_ont_5188.owl,17986,0,35921,17934,17934,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,20.8659,2.1443,100.8036,0.0986,0.2012,0.1727999999999999,0.5934
ore_ont_7716.owl,17268,0,42908,25634,25634,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,2.9902,3.0822,47.3691,0.1128,0.3046,0.2847,0.6466
ore_ont_2397.owl,9861,0,34771,24749,24678,0,71,0,162,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,234.3669,9.6394,,0.1812,16.4353,16.8042,0.6667
ore_ont_8441.owl,7802,22,50419,42596,19450,23122,24,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,7.5859,24.3392,149.3107,0.0842,1.0012,0.9483,0.7484
ore_ont_7174.owl,7802,22,50419,42596,19450,23122,24,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,7.5478,21.8285,136.5869,0.0904,0.9601,0.9347,0.7376
ore_ont_15733.owl,7802,22,50419,42596,19450,23122,24,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,7.5944,21.4258,139.0696,0.0888,1.046,0.9467,0.7288
