Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Consistency,HermiT_Consistency,JFact_Consistency,Konclude_Consistency,Openllet_Consistency,Pellet_Consistency,KoncludeCLI_Consistency,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Consistency_LoadingAdded,HermiT_Consistency_LoadingAdded,JFact_Consistency_LoadingAdded,Konclude_Consistency_LoadingAdded,Openllet_Consistency_LoadingAdded,Pellet_Consistency_LoadingAdded,KoncludeCLI_Consistency_LoadingAdded
ore_ont_3905.owl,3736,1266,11004,6764,4349,1947,468,0,505,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.02,0.0114,0.1812,0.0023,0.0698,0.0747,0.1563,0.0519,0.1729,0.0634,0.239,0.1178,0.109,0.0719,0.1843,0.24459999999999998,0.2413,0.1876,0.1837,0.1563
ore_ont_1340.owl,3718,1289,11014,6786,4323,1977,486,0,511,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0225,0.0116999999999999,0.1995,0.0025,0.0746,0.0829,0.157,0.0536,0.1676,0.0688,0.2441,0.1257,0.1076,0.0761,0.1792999999999999,0.2683,0.2466,0.2003,0.1905,0.157
ore_ont_11989.owl,3010,1135,10359,6820,4150,2295,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0247,0.048,0.2954,0.0026,0.0675,,0.1825,0.0516999999999999,0.1722,0.053,0.2794,0.1188,,0.0763999999999999,0.2202,0.3484,0.282,0.18630000000000002,,0.1825
ore_ont_12468.owl,2997,1135,10377,6851,4130,2346,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0253,0.0477,0.2588,0.0022,0.0704,,0.1837,0.0508,0.1664,0.0527,0.2643999999999999,0.1174,,0.0761,0.21409999999999998,0.3115,0.2665999999999999,0.18780000000000002,,0.1837
ore_ont_14452.owl,2997,1135,10377,6851,4130,2346,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0246,0.0481,0.264,0.0023,0.0671,,0.1842,0.0544,0.1843,0.0594,0.2697,0.1156,,0.079,0.2324,0.3234,0.272,0.1827,,0.1842
ore_ont_13674.owl,3005,1152,10388,6851,4150,2319,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0224,0.0594,0.2524,0.0024,0.0661,,0.1829,0.0471,0.1708,0.0601,0.2662,0.1278,,0.0695,0.23020000000000002,0.3125,0.2686,0.19390000000000002,,0.1829
ore_ont_6111.owl,3897,0,11200,7180,7025,0,155,25,98,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0721,0.0021,0.7129,0.0021,0.0466,0.0533,0.1227,0.0389,0.2333,0.0485,0.2017999999999999,0.1713,0.2149,0.11099999999999999,0.2354,0.7614,0.2038999999999999,0.2179,0.2682,0.1227
ore_ont_980.owl,3545,1264,10763,6882,4854,1841,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0214,0.0289999999999999,0.2517,0.0024,0.0803,,0.1827,0.0476,0.1803,0.0645,0.2635,0.1267,,0.069,0.20929999999999988,0.3162,0.2659,0.20700000000000002,,0.1827
ore_ont_16642.owl,3596,1226,10790,6858,4910,1761,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0244,0.0266,0.2685,0.0023,0.0726,,0.1808,0.054,0.1796,0.0676,0.2606,0.1278999999999999,,0.0784,0.2062,0.3361,0.2629,0.2004999999999999,,0.1808
ore_ont_15796.owl,2992,1152,10408,6884,4130,2372,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0225,0.0583,0.2709,0.0021,0.0672,,0.1826,0.0453,0.1741,0.0641,0.2671,0.1188999999999999,,0.0678,0.2324,0.33499999999999996,0.2692,0.18609999999999988,,0.1826
ore_ont_148.owl,3064,1190,10495,6897,4222,2291,384,32,503,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0228,0.0550999999999999,0.2773,0.0022,0.0698,,0.1834,0.0455,0.1904,0.0537,0.2698,0.1286,,0.0683,0.2454999999999999,0.33099999999999996,0.27199999999999996,0.1984,,0.1834
ore_ont_9896.owl,2393,0,14473,12076,3684,8389,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0304,0.0168,0.2006,0.0024,0.0152,0.0176,0.1003,0.0563,0.13,0.0739,0.3471,0.0794,0.0692,0.0867,0.1468,0.27449999999999997,0.34950000000000003,0.0946,0.0868,0.1003
ore_ont_3771.owl,2231,426,5324,3093,2622,471,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0067,0.005,0.0542,0.0021,0.0175,0.0164,0.0628,0.0247,0.0996,0.0371,0.1148,0.0735,0.056,0.0314,0.1046,0.09129999999999999,0.1169,0.091,0.0724,0.0628
